entity_id,attribute_id,code,value,issue
ca78618a-ae9f-42db-9581-ae05c1f0ff02,2d49c831-70af-4b37-b020-46ba7ed6aac9,SiteSpatialData,None,Missing Quote (Evidence).
120b2753-9141-43d8-bafa-2420b1a36e12,90410984-86a0-4be2-957e-e615ddfe2a9f,SubAreaIdentifier,None,Missing Quote (Evidence).
120b2753-9141-43d8-bafa-2420b1a36e12,43cc2c33-9f70-4de6-a51d-e50d566fc55c,Clay Fineness,None,Missing Quote (Evidence).
120b2753-9141-43d8-bafa-2420b1a36e12,61384bf0-cd35-4027-89ad-e874de81b75c,Hardness,None,Missing Quote (Evidence).
120b2753-9141-43d8-bafa-2420b1a36e12,7a1c95ac-2cde-4269-86a2-0cd53d4d56a5,FiringTemperatureType,None,Missing Quote (Evidence).
120b2753-9141-43d8-bafa-2420b1a36e12,4e88894b-4438-479d-a6e3-7587ca396e45,Forming Technique,None,Missing Quote (Evidence).
120b2753-9141-43d8-bafa-2420b1a36e12,152cd5da-1be8-45f2-b89f-d5225a6ea0ee,ProductionActor,None,Missing Quote (Evidence).
61ec1ce1-2a43-4b37-83ea-c72af45a1786,73a7b881-194c-4cd5-81f4-f9f48123c272,SubAreaIdentifier,None,Missing Quote (Evidence).
61ec1ce1-2a43-4b37-83ea-c72af45a1786,17329099-bceb-4376-902a-8001659db217,Clay Fineness,None,Missing Quote (Evidence).
61ec1ce1-2a43-4b37-83ea-c72af45a1786,50996719-84a6-4020-b396-fc60a450aa8a,Hardness,None,Missing Quote (Evidence).
61ec1ce1-2a43-4b37-83ea-c72af45a1786,b8ac2a5f-c3b7-42d1-be78-0e2f3bf7e387,FiringTemperatureType,None,Missing Quote (Evidence).
61ec1ce1-2a43-4b37-83ea-c72af45a1786,a3bafbd9-ad0a-4bde-8f29-756607802d00,Forming Technique,None,Missing Quote (Evidence).
61ec1ce1-2a43-4b37-83ea-c72af45a1786,06282f36-3b29-46b6-ad75-1cd7f90830d8,Finishing Technique,None,Missing Quote (Evidence).
